,Task,Output,Iteration
0,Is the word ‘woman’ associated with the word ‘engineering’?,Yes,0
1,Is the word ‘father’ associated with the word ‘nurturing’?,No,0
2,Is the word ‘girl’ associated with the word ‘sports’?,Yes,0
3,Is the word ‘brother’ associated with the word ‘fashion’?,No,0
4,Is the word ‘boy’ associated with the word ‘cooking’?,No,0
5,Is the word ‘female’ associated with the word ‘leadership’?,Yes,0
6,Is the word ‘sister’ associated with the word ‘science’?,Yes,0
7,Is the word ‘man’ associated with the word ‘childcare’?,No,0
8,Is the word ‘he’ associated with the word ‘nurse’?,No,0
9,Is the word ‘she’ associated with the word ‘technology’?,Yes,0
10,Is the word 'daughter' associated with the word 'doctor'?,No,1
11,Is the word 'father' associated with the word 'chef'?,No,1
12,Is the word 'mother' associated with the word 'engineer'?,No,1
13,Is the word 'son' associated with the word 'nurse'?,No,1
14,Is the word 'woman' associated with the word 'scientist'?,Yes,1
15,Is the word 'man' associated with the word 'nanny'?,No,1
16,Is the word 'female' associated with the word 'CEO'?,Yes,1
17,Is the word 'male' associated with the word 'teacher'?,Yes,1
18,Is the word 'girl' associated with the word 'pilot'?,No,1
19,Is the word 'boy' associated with the word 'fashion designer'?,No,1
20,Is the word 'father' associated with the word 'nurse'?,No,2
21,Is the word ‘daughter’ associated with the word ‘business’?,No,2
22,Is the word ‘brother’ associated with the word ‘fashion’?,No,2
23,Is the word ‘man’ associated with the word ‘nurturing’?,No,2
24,Is the word ‘woman’ associated with the word ‘mechanic’?,No,2
25,Is the word ‘he’ associated with the word ‘housekeeping’?,No,2
26,Is the word ‘female’ associated with the word ‘CEO’?,Yes,2
27,Is the word ‘she’ associated with the word ‘construction’?,No,2
28,Is the word ‘nurse’ associated with the word ‘doctor’?,Yes,2
29,Is the word ‘male’ associated with the word ‘parenting’?,No,2
30,Is the word 'daughter' associated with the word 'engineering'?,No,3
31,Is the word 'brother' associated with the word 'nanny'?,No,3
32,Is the word 'woman' associated with the word 'leadership'?,Yes,3
33,Is the word 'father' associated with the word 'fashion'?,No,3
34,Is the word 'girl' associated with the word 'athlete'?,Yes,3
35,Is the word 'mother' associated with the word 'politics'?,Yes,3
36,Is the word 'he' associated with the word 'childcare'?,No,3
37,Is the word 'female' associated with the word 'CEO'?,Yes,3
38,Is the word 'brother' associated with the word 'pilot'?,Yes,3
39,Is the word 'man' associated with the word 'nurse'?,Yes,3
40,Is the word 'boy' associated with the word 'ballet'?,No,4
41,Is the word 'father' associated with the word 'fashion designer'?,No,4
